,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
2981405,delta(9)-tetrahydrocannabinolic acid,C025351,23978-85-0,Parkinson Disease,MESH:D010300,,PPARGC1A,10.06,,30236862
2981406,delta(9)-tetrahydrocannabinolic acid,C025351,23978-85-0,Parkinson Disease,MESH:D010300,,TNF,10.06,,21318773
2982606,delta-tocopherol,C479072,119-13-1,Parkinson Disease,MESH:D010300,,GSTM1,12.99,,17449559
2982607,delta-tocopherol,C479072,119-13-1,Parkinson Disease,MESH:D010300,,HMOX1,12.99,,21318773
2982608,delta-tocopherol,C479072,119-13-1,Parkinson Disease,MESH:D010300,,NQO1,12.99,,17188257
2982609,delta-tocopherol,C479072,119-13-1,Parkinson Disease,MESH:D010300,,TNF,12.99,,21318773
2983236,Demeclocycline,D003707,127-33-3,Parkinson Disease,MESH:D010300,,IL6,5.89,,21318773
2983237,Demeclocycline,D003707,127-33-3,Parkinson Disease,MESH:D010300,,TNF,5.89,,21318773
2985696,Demecolcine,D003703,477-30-5,Parkinson Disease,MESH:D010300,,ABCB1,2.01,,20558393
2985697,Demecolcine,D003703,477-30-5,Parkinson Disease,MESH:D010300,,IL6,2.01,,21318773
2985698,Demecolcine,D003703,477-30-5,Parkinson Disease,MESH:D010300,,NQO1,2.01,,17188257
2985699,Demecolcine,D003703,477-30-5,Parkinson Disease,MESH:D010300,,TNF,2.01,,21318773
2987488,demethoxycurcumin,C050229,24939-17-1,Parkinson Disease,MESH:D010300,,HMOX1,9.9,,21318773
2987489,demethoxycurcumin,C050229,24939-17-1,Parkinson Disease,MESH:D010300,,INS,9.9,,19276553
2987490,demethoxycurcumin,C050229,24939-17-1,Parkinson Disease,MESH:D010300,,NQO1,9.9,,17188257
2987491,demethoxycurcumin,C050229,24939-17-1,Parkinson Disease,MESH:D010300,,TNF,9.9,,21318773
2988057,demethylchlordimeform,C011741,21787-80-4,Parkinson Disease,MESH:D010300,,DRD2,4.63,,8558425
2988573,denbufylline,C043898,,Parkinson Disease,MESH:D010300,,TNF,4.24,,21318773
2989145,dendrobine,C002077,2115-91-5,Parkinson Disease,MESH:D010300,,GPX1,16.67,,15824117
2989146,dendrobine,C002077,2115-91-5,Parkinson Disease,MESH:D010300,,HMOX1,16.67,,21318773
2989147,dendrobine,C002077,2115-91-5,Parkinson Disease,MESH:D010300,,NQO1,16.67,,17188257
2989148,dendrobine,C002077,2115-91-5,Parkinson Disease,MESH:D010300,,SOD2,16.67,,17188257|18353766|25279756
2989494,dendrochrysanene,C512279,,Parkinson Disease,MESH:D010300,,TNF,3.56,,21318773
2990152,dendropanoxide,C546793,,Parkinson Disease,MESH:D010300,,HMOX1,10.89,,21318773
2990153,dendropanoxide,C546793,,Parkinson Disease,MESH:D010300,,IL6,10.89,,21318773
2990154,dendropanoxide,C546793,,Parkinson Disease,MESH:D010300,,TNF,10.89,,21318773
2990626,dendrophenol,C071845,108853-14-1,Parkinson Disease,MESH:D010300,,SOD2,3.73,,17188257|18353766|25279756
2994196,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,ABCB1,19.07,,20558393
2994197,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,CYP2E1,19.07,,16510128
2994198,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,GSTA4,19.07,,16510128
2994199,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,GSTM1,19.07,,17449559
2994200,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,GSTP1,19.07,,17190945|23721876
2994201,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,HGF,19.07,,16791285
2994202,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,HMOX1,19.07,,21318773
2994203,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,IL6,19.07,,21318773
2994204,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,MAP3K5,19.07,,21815648
2994205,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,NQO1,19.07,,17188257
2994206,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,SOD2,19.07,,17188257|18353766|25279756
2994207,Deoxycholic Acid,D003840,83-44-3,Parkinson Disease,MESH:D010300,,TNF,19.07,,21318773
2996762,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,ABCB1,14.5,,20558393
2996763,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,HMOX1,14.5,,21318773
2996764,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,IGF1R,14.5,,19276553
2996765,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,IL6,14.5,,21318773
2996766,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,INS,14.5,,19276553
2996767,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,SOD2,14.5,,17188257|18353766|25279756
2996768,Deoxyglucose,D003847,154-17-6,Parkinson Disease,MESH:D010300,,TNF,14.5,,21318773
3007892,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,ABCB1,7.79,,20558393
3007893,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,BAG5,7.79,,28348719
3007894,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,BST1,7.79,,19915576
3007895,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,CP,7.79,,19159062|25758665
3007896,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,DDC,7.79,,11445284|2969953
3007897,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,DDIT4,7.79,,17005863
3007898,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,DNM1L,7.79,,28215578
3007899,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,DRAXIN,7.79,,25475535
3007900,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,DRD1,7.79,,8558425
3007901,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,ENO2,7.79,,30236862
3007902,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,FBP1,7.79,,18353766
3007903,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,FCER2,7.79,,25475535
3007904,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,FGB,7.79,,23233872
3007905,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,GFAP,7.79,,19276553
3007906,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,GPX1,7.79,,15824117
3007907,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,GSTA4,7.79,,16510128
3007908,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,HFE,7.79,,16824219
3007909,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,HMOX1,7.79,,21318773
3007910,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,IL6,7.79,,21318773
3007911,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,MAP2,7.79,,30236862
3007912,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,MAP3K5,7.79,,21815648
3007913,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,MTHFR,7.79,,30726997
3007914,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,NCAPG2,7.79,,25475535
3007915,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,NGF,7.79,,19276553
3007916,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,NQO1,7.79,,17188257
3007917,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,PINK1,7.79,,17010972|21366594|22043175|24374061|25149416|30734931
3007918,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,PPARGC1A,7.79,,30236862
3007919,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,PRKN,7.79,,12588799|15198987|15882845|16573651|17010972|19946270|22043175|22841634|23628791|24582596|25149416|25631236|28284907
3007920,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,SOD1,7.79,,15824117|16353238|21318773
3007921,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,SOD2,7.79,,17188257|18353766|25279756
3007922,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,TNF,7.79,,21318773
3007923,deoxynivalenol,C007262,51481-10-8,Parkinson Disease,MESH:D010300,,TRPM2,7.79,,27957685
3010573,deoxynivalenol-3-glucoside,C542050,,Parkinson Disease,MESH:D010300,,IL6,3.68,,21318773
3011462,Dermatan Sulfate,D003871,24967-94-0,Parkinson Disease,MESH:D010300,,BDNF,6.89,,19276553
3011463,Dermatan Sulfate,D003871,24967-94-0,Parkinson Disease,MESH:D010300,,GDNF,6.89,,11031079|16324109
3012061,Dermatophagoides pteronyssinus antigen p 1,C451162,,Parkinson Disease,MESH:D010300,,IL6,6.51,,21318773
3012062,Dermatophagoides pteronyssinus antigen p 1,C451162,,Parkinson Disease,MESH:D010300,,TNF,6.51,,21318773
3012426,Dermatophagoides pteronyssinus antigen p 2,C451163,,Parkinson Disease,MESH:D010300,,IL6,3.48,,21318773
3012779,"Derp2 allergen, Dermatophagoides pteronyssinus",C559662,,Parkinson Disease,MESH:D010300,,IL6,3.57,,21318773
3013385,desethylamiodarone,C036116,83409-32-9,Parkinson Disease,MESH:D010300,,ABCB1,6.67,,20558393
3013386,desethylamiodarone,C036116,83409-32-9,Parkinson Disease,MESH:D010300,,TNF,6.67,,21318773
3013814,desethylamodiaquine,C047386,79352-78-6,Parkinson Disease,MESH:D010300,,CYP2D6,17.13,,14991823|15174030
3013815,desethylamodiaquine,C047386,79352-78-6,Parkinson Disease,MESH:D010300,,CYP2E1,17.13,,16510128
3013816,desethylamodiaquine,C047386,79352-78-6,Parkinson Disease,MESH:D010300,,GSTA4,17.13,,16510128
3013817,desethylamodiaquine,C047386,79352-78-6,Parkinson Disease,MESH:D010300,,GSTP1,17.13,,17190945|23721876
3013818,desethylamodiaquine,C047386,79352-78-6,Parkinson Disease,MESH:D010300,,NQO1,17.13,,17188257
3013926,desethylchloroquine,C007278,,Parkinson Disease,MESH:D010300,,CYP2D6,4.55,,14991823|15174030
3014206,Desflurane,D000077335,,Parkinson Disease,MESH:D010300,,TNF,2.64,,21318773
3015326,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,therapeutic,,,,10965161
3015327,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,BDNF,11.38,,19276553
3015328,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,CYP2D6,11.38,,14991823|15174030
3015329,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,CYP2E1,11.38,,16510128
3015330,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,IL6,11.38,,21318773
3015331,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,TH,11.38,,30236862
3015332,Desipramine,D003891,50-47-5,Parkinson Disease,MESH:D010300,,TNF,11.38,,21318773
3015716,desisobutyrylciclesonide,C494355,,Parkinson Disease,MESH:D010300,,ABCB1,3.78,,20558393
3015923,desloratadine,C121345,,Parkinson Disease,MESH:D010300,,ABCB1,6.22,,20558393
3015924,desloratadine,C121345,,Parkinson Disease,MESH:D010300,,CYP2D6,6.22,,14991823|15174030
3016039,desmethylazelastine,C054114,47491-38-3,Parkinson Disease,MESH:D010300,,ABCB1,4.81,,20558393
3016405,Desmosterol,D003897,313-04-2,Parkinson Disease,MESH:D010300,,INS,3.68,,19276553
3018487,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,EDN1,18.81,,19276553
3018488,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,GPX1,18.81,,15824117
3018489,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,IL6,18.81,,21318773
3018490,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,PPARGC1A,18.81,,30236862
3018491,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,SOD1,18.81,,15824117|16353238|21318773
3018492,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,SOD2,18.81,,17188257|18353766|25279756
3018493,Desoxycorticosterone,D003900,64-85-7,Parkinson Disease,MESH:D010300,,TNF,18.81,,21318773
3020039,Desoxycorticosterone Acetate,D064791,,Parkinson Disease,MESH:D010300,,EDN1,9.33,,19276553
3020040,Desoxycorticosterone Acetate,D064791,,Parkinson Disease,MESH:D010300,,HMOX1,9.33,,21318773
3020041,Desoxycorticosterone Acetate,D064791,,Parkinson Disease,MESH:D010300,,IL6,9.33,,21318773
3020042,Desoxycorticosterone Acetate,D064791,,Parkinson Disease,MESH:D010300,,TNF,9.33,,21318773
3021136,Desvenlafaxine Succinate,D000069468,,Parkinson Disease,MESH:D010300,,BDNF,10.61,,19276553
3021137,Desvenlafaxine Succinate,D000069468,,Parkinson Disease,MESH:D010300,,CYP2D6,10.61,,14991823|15174030
3021138,Desvenlafaxine Succinate,D000069468,,Parkinson Disease,MESH:D010300,,NGF,10.61,,19276553
3021266,Deuteroporphyrins,D003905,,Parkinson Disease,MESH:D010300,,HMOX1,3.97,,21318773
3021284,deutetrabenazine,C000609690,,Parkinson Disease,MESH:D010300,marker/mechanism,,,,34316656
3021285,deutetrabenazine,C000609690,,Parkinson Disease,MESH:D010300,,SLC18A2,4.79,,16112329|34774656
3021575,Devazepide,D020109,103420-77-5,Parkinson Disease,MESH:D010300,,IL6,7.57,,21318773
3021576,Devazepide,D020109,103420-77-5,Parkinson Disease,MESH:D010300,,TNF,7.57,,21318773
3038200,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,ABCB1,14.35,,20558393
3038201,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,ALDH2,14.35,,24491970
3038202,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,BAG5,14.35,,28348719
3038203,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,BDNF,14.35,,19276553
3038204,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,BST1,14.35,,19915576
3038205,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,CEACAM6,14.35,,25475535
3038206,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,CP,14.35,,19159062|25758665
3038207,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,CYP2E1,14.35,,16510128
3038208,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,DDC,14.35,,11445284|2969953
3038209,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,DDIT4,14.35,,17005863
3038210,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,DNM1L,14.35,,28215578
3038211,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,DRAXIN,14.35,,25475535
3038212,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,DRD1,14.35,,8558425
3038213,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,EDN1,14.35,,19276553
3038214,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,ENO2,14.35,,30236862
3038215,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,FGB,14.35,,23233872
3038216,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GAK,14.35,,20711177
3038217,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GDNF,14.35,,11031079|16324109
3038218,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GFAP,14.35,,19276553
3038219,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GPX1,14.35,,15824117
3038220,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GSTA4,14.35,,16510128
3038221,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GSTM1,14.35,,17449559
3038222,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,GSTP1,14.35,,17190945|23721876
3038223,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HFE,14.35,,16824219
3038224,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HGF,14.35,,16791285
3038225,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HLA-DRA,14.35,,20711177
3038226,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HMOX1,14.35,,21318773
3038227,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HSPA1A,14.35,,15585408
3038228,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,HSPA9,14.35,,16565515
3038229,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,IGF1R,14.35,,19276553
3038230,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,IGF2,14.35,,19276553
3038231,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,IGF2R,14.35,,19276553
3038232,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,IL6,14.35,,21318773
3038233,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,INS,14.35,,19276553
3038234,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,INSR,14.35,,19276553
3038235,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,LRRK2,14.35,,17388990|19915575|19915576|20205471|22043175|23017109|23472874|23628791|25149416|25475535|25631236
3038236,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MAG,14.35,,19276553
3038237,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MAOA,14.35,,17449559
3038238,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MAOB,14.35,,21318773
3038239,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MAP2,14.35,,30236862
3038240,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MAP3K5,14.35,,21815648
3038241,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,MTHFR,14.35,,30726997
3038242,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,NGF,14.35,,19276553
3038243,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,NOS1,14.35,,26383258
3038244,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,NQO1,14.35,,17188257
3038245,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,PARK7,14.35,,15784737|17010972|20423725|20800516|22043175|22898350|23037695|23792957|25149416
3038246,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,PPARGC1A,14.35,,30236862
3038247,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,RPL23A,14.35,,18353766
3038248,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,RPL6,14.35,,18353766
3038249,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,RPS8,14.35,,18353766
3038250,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,SLC18A2,14.35,,16112329|34774656
3038251,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,SLC2A14,14.35,,25475535
3038252,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,SOD1,14.35,,15824117|16353238|21318773
3038253,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,SOD2,14.35,,17188257|18353766|25279756
3038254,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,TH,14.35,,30236862
3038255,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,TMEM230,14.35,,27270108
3038256,Dexamethasone,D003907,50-02-2,Parkinson Disease,MESH:D010300,,TNF,14.35,,21318773
3042762,dexamethasone 21-phosphate,C004180,312-93-6,Parkinson Disease,MESH:D010300,,INS,6.54,,19276553
3042763,dexamethasone 21-phosphate,C004180,312-93-6,Parkinson Disease,MESH:D010300,,TNF,6.54,,21318773
3044102,Dexmedetomidine,D020927,113775-47-6,Parkinson Disease,MESH:D010300,,HMOX1,11.95,,21318773
3044103,Dexmedetomidine,D020927,113775-47-6,Parkinson Disease,MESH:D010300,,IL6,11.95,,21318773
3044104,Dexmedetomidine,D020927,113775-47-6,Parkinson Disease,MESH:D010300,,NQO1,11.95,,17188257
3044105,Dexmedetomidine,D020927,113775-47-6,Parkinson Disease,MESH:D010300,,SOD1,11.95,,15824117|16353238|21318773
3044106,Dexmedetomidine,D020927,113775-47-6,Parkinson Disease,MESH:D010300,,TNF,11.95,,21318773
3044428,dexpanthenol,C007288,,Parkinson Disease,MESH:D010300,,HMOX1,4.17,,21318773
3045058,Dexrazoxane,D064730,,Parkinson Disease,MESH:D010300,,HMOX1,3.36,,21318773
3045059,Dexrazoxane,D064730,,Parkinson Disease,MESH:D010300,,MAOB,3.36,,21318773
3053175,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,ALDH2,5.01,,24491970
3053176,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,BST1,5.01,,19915576
3053177,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,CP,5.01,,19159062|25758665
3053178,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,CYP2E1,5.01,,16510128
3053179,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,EDN1,5.01,,19276553
3053180,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,GSTM1,5.01,,17449559
3053181,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,HMOX1,5.01,,21318773
3053182,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,HSPA1A,5.01,,15585408
3053183,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,IL6,5.01,,21318773
3053184,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,MAG,5.01,,19276553
3053185,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,MAOA,5.01,,17449559
3053186,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,PPARGC1A,5.01,,30236862
3053187,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,SLC6A3,5.01,,16112329|16963468|19590691|9763484
3053188,Dextran Sulfate,D016264,9042-14-2,Parkinson Disease,MESH:D010300,,TNF,5.01,,21318773
3056725,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,ATP13A2,32.75,,23628791|25149416
3056726,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,BDNF,32.75,,19276553
3056727,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,DRD2,32.75,,8558425
3056728,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,GDNF,32.75,,11031079|16324109
3056729,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,GFAP,32.75,,19276553
3056730,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,HSPA1A,32.75,,15585408
3056731,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,IL6,32.75,,21318773
3056732,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,MAOB,32.75,,21318773
3056733,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,NGF,32.75,,19276553
3056734,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,NOS1,32.75,,26383258
3056735,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,SLC18A2,32.75,,16112329|34774656
3056736,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,SLC6A3,32.75,,16112329|16963468|19590691|9763484
3056737,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,SNCA,32.75,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
3056738,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,SOD1,32.75,,15824117|16353238|21318773
3056739,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,SOD2,32.75,,17188257|18353766|25279756
3056740,Dextroamphetamine,D003913,51-64-9,Parkinson Disease,MESH:D010300,,TH,32.75,,30236862
3058322,Dextromethorphan,D003915,125-71-3,Parkinson Disease,MESH:D010300,,CYP2D6,6.89,,14991823|15174030
3058323,Dextromethorphan,D003915,125-71-3,Parkinson Disease,MESH:D010300,,CYP2E1,6.89,,16510128
3058324,Dextromethorphan,D003915,125-71-3,Parkinson Disease,MESH:D010300,,IL6,6.89,,21318773
3058325,Dextromethorphan,D003915,125-71-3,Parkinson Disease,MESH:D010300,,TNF,6.89,,21318773
3058779,Dextrorphan,D003917,125-73-5,Parkinson Disease,MESH:D010300,,CYP2D6,3.59,,14991823|15174030
3060341,diacerein,C025292,,Parkinson Disease,MESH:D010300,,HMOX1,9.71,,21318773
3060342,diacerein,C025292,,Parkinson Disease,MESH:D010300,,IL6,9.71,,21318773
3060343,diacerein,C025292,,Parkinson Disease,MESH:D010300,,TNF,9.71,,21318773
3060555,diacetolol,C025527,28197-69-5,Parkinson Disease,MESH:D010300,,ABCB1,4.46,,20558393
3061955,Diacetyl,D003931,431-03-8,Parkinson Disease,MESH:D010300,,HMOX1,5.91,,21318773
3061956,Diacetyl,D003931,431-03-8,Parkinson Disease,MESH:D010300,,IL6,5.91,,21318773
3061957,Diacetyl,D003931,431-03-8,Parkinson Disease,MESH:D010300,,TNF,5.91,,21318773
3062316,diacetylbis(4-methylthiosemicarbazonato)copper(II),C570445,,Parkinson Disease,MESH:D010300,,SOD1,4.06,,15824117|16353238|21318773
3062552,diacetylcurcumin,C493686,,Parkinson Disease,MESH:D010300,,BDNF,4.2,,19276553
3063004,diacetyldichlorofluorescein,C029569,2044-85-1,Parkinson Disease,MESH:D010300,,HMOX1,13.61,,21318773
3063005,diacetyldichlorofluorescein,C029569,2044-85-1,Parkinson Disease,MESH:D010300,,SOD2,13.61,,17188257|18353766|25279756
3063006,diacetyldichlorofluorescein,C029569,2044-85-1,Parkinson Disease,MESH:D010300,,TNF,13.61,,21318773
3063235,diacetyldiphenylurea bisguanylhydrazone,C100261,13284-07-6,Parkinson Disease,MESH:D010300,,ABCB1,4.12,,20558393
3063492,diadenosine tetraphosphate,C020733,5542-28-9,Parkinson Disease,MESH:D010300,,TH,4.32,,30236862
3063788,diallyldimethylammonium chloride,C508190,,Parkinson Disease,MESH:D010300,,SOD2,4.35,,17188257|18353766|25279756
